"","individual","environment","y"
"292",1,-1.11407836761322,3.87298334620742
"293",1,-1.11407836761322,1.73205080756888
"294",1,0.897259803315826,4.12310562561766
"1594",1,-1.11407836761322,4.47213595499958
"1595",1,-1.11407836761322,3
"1596",1,0.897259803315826,4.47213595499958
"1597",1,0.897259803315826,3.87298334620742
"600",2,-1.11407836761322,2.23606797749979
"601",2,-1.11407836761322,1.4142135623731
"602",2,0.897259803315826,3.87298334620742
"603",2,0.897259803315826,2.82842712474619
"1727",2,0.897259803315826,4.47213595499958
"1728",2,-1.11407836761322,1.73205080756888
"1729",2,0.897259803315826,3.46410161513775
"1464",3,0.897259803315826,3.46410161513775
"1465",3,-1.11407836761322,3.16227766016838
"2530",4,0.897259803315826,3.60555127546399
"2531",4,0.897259803315826,1
"99",5,0.897259803315826,5
"100",5,-1.11407836761322,3.87298334620742
"238",5,0.897259803315826,4.69041575982343
"239",5,-1.11407836761322,4.47213595499958
"240",5,-1.11407836761322,2.64575131106459
"1562",5,-1.11407836761322,3.87298334620742
"1563",5,0.897259803315826,3.16227766016838
"36",6,-1.11407836761322,2.23606797749979
"37",6,0.897259803315826,2.82842712474619
"38",6,-1.11407836761322,1.73205080756888
"39",6,0.897259803315826,3.87298334620742
"68",6,0.897259803315826,4
"69",6,0.897259803315826,2.82842712474619
"1377",6,0.897259803315826,4.24264068711928
"1378",6,-1.11407836761322,4.47213595499958
"1379",6,0.897259803315826,2.82842712474619
"152",7,-1.11407836761322,1.4142135623731
"153",7,0.897259803315826,2
"154",7,-1.11407836761322,3.16227766016838
"155",7,0.897259803315826,2.23606797749979
"1427",7,0.897259803315826,4.47213595499958
"60",8,0.897259803315826,3.46410161513775
"61",8,-1.11407836761322,3.87298334620742
"747",9,0.897259803315826,4.47213595499958
"748",9,-1.11407836761322,5
"744",10,0.897259803315826,3.16227766016838
"745",10,0.897259803315826,3.87298334620742
"746",10,-1.11407836761322,2.23606797749979
"755",11,0.897259803315826,2.64575131106459
"756",11,-1.11407836761322,2.23606797749979
"491",12,0.897259803315826,2
"492",12,-1.11407836761322,2.82842712474619
"493",12,-1.11407836761322,1.73205080756888
"448",13,0.897259803315826,2.82842712474619
"449",13,-1.11407836761322,2.23606797749979
"450",13,0.897259803315826,2.44948974278318
"451",13,-1.11407836761322,2.23606797749979
"2310",14,-1.11407836761322,2.23606797749979
"2311",14,0.897259803315826,3.74165738677394
"2312",14,0.897259803315826,3.16227766016838
"1288",15,0.897259803315826,2.82842712474619
"1289",15,0.897259803315826,4
"1290",15,-1.11407836761322,3.87298334620742
"1335",16,0.897259803315826,3.87298334620742
"2601",16,-1.11407836761322,5.29150262212918
"2602",16,0.897259803315826,3.87298334620742
"694",17,0.897259803315826,2.64575131106459
"695",17,0.897259803315826,3.46410161513775
"696",17,-1.11407836761322,1.4142135623731
"659",18,0.897259803315826,3.46410161513775
"660",18,0.897259803315826,3.16227766016838
"661",18,-1.11407836761322,2.82842712474619
"1831",18,0.897259803315826,3.87298334620742
"1832",18,0.897259803315826,3.16227766016838
"1833",18,-1.11407836761322,0
"1834",18,-1.11407836761322,3.16227766016838
"501",19,0.897259803315826,3.60555127546399
"1170",19,0.897259803315826,3.16227766016838
"2491",20,-1.11407836761322,3.60555127546399
"852",21,0.897259803315826,4.47213595499958
"1225",22,-1.11407836761322,3.46410161513775
"421",23,-1.11407836761322,3.16227766016838
"786",23,-1.11407836761322,3.87298334620742
"787",23,0.897259803315826,2.64575131106459
"788",23,-1.11407836761322,3.16227766016838
"789",23,0.897259803315826,2.64575131106459
"778",24,-1.11407836761322,2.23606797749979
"779",24,0.897259803315826,3.16227766016838
"780",24,0.897259803315826,3.16227766016838
"781",24,-1.11407836761322,1
"784",25,-1.11407836761322,3.16227766016838
"785",25,-1.11407836761322,3.87298334620742
"958",26,0.897259803315826,2.23606797749979
"959",26,-1.11407836761322,3.16227766016838
"960",26,0.897259803315826,2
"961",26,-1.11407836761322,1.4142135623731
"1357",27,0.897259803315826,2.44948974278318
"1358",27,0.897259803315826,3.87298334620742
"1359",27,-1.11407836761322,3.16227766016838
"51",28,-1.11407836761322,2.23606797749979
"55",28,0.897259803315826,3.87298334620742
"56",28,0.897259803315826,3.87298334620742
"1407",28,-1.11407836761322,1
"1408",28,-1.11407836761322,1.73205080756888
"1409",28,0.897259803315826,4.24264068711928
"478",29,-1.11407836761322,3.60555127546399
"479",29,0.897259803315826,3.87298334620742
"1674",29,-1.11407836761322,0
"1675",29,0.897259803315826,4.79583152331272
"1676",29,-1.11407836761322,2.44948974278318
"418",30,-1.11407836761322,2.82842712474619
"419",30,0.897259803315826,2.82842712474619
"420",30,-1.11407836761322,3.87298334620742
"267",31,0.897259803315826,3.87298334620742
"1574",31,-1.11407836761322,2.23606797749979
"315",32,0.897259803315826,3.87298334620742
"316",32,-1.11407836761322,3.16227766016838
"252",33,-1.11407836761322,3.16227766016838
"253",33,0.897259803315826,4.79583152331272
"254",33,0.897259803315826,5.47722557505166
"723",33,0.897259803315826,3.87298334620742
"955",33,0.897259803315826,5
"956",33,0.897259803315826,4.24264068711928
"957",33,-1.11407836761322,4.47213595499958
"1492",33,-1.11407836761322,3.87298334620742
"1493",33,-1.11407836761322,3.16227766016838
"1494",33,0.897259803315826,3
"1495",33,0.897259803315826,3.60555127546399
"2145",33,0.897259803315826,3.3166247903554
"803",34,0.897259803315826,2.82842712474619
"804",34,0.897259803315826,2.82842712474619
"805",34,0.897259803315826,4.47213595499958
"806",34,0.897259803315826,4.47213595499958
"1028",35,0.897259803315826,2
"1029",35,0.897259803315826,3.16227766016838
"1030",35,-1.11407836761322,3.87298334620742
"1031",35,-1.11407836761322,3.16227766016838
"2538",35,-1.11407836761322,3.87298334620742
"2539",35,-1.11407836761322,3.74165738677394
"2540",35,0.897259803315826,3.16227766016838
"2541",35,0.897259803315826,4.12310562561766
"1050",36,-1.11407836761322,2.23606797749979
"1162",37,0.897259803315826,3.87298334620742
"1163",37,0.897259803315826,6.32455532033676
"1164",38,-1.11407836761322,3.46410161513775
"1165",38,0.897259803315826,2.23606797749979
"1166",38,0.897259803315826,1.73205080756888
"1167",38,-1.11407836761322,2.23606797749979
"2574",38,0.897259803315826,2
"2575",38,-1.11407836761322,0
"1589",39,0.897259803315826,3.46410161513775
"1590",39,-1.11407836761322,2.82842712474619
"279",40,0.897259803315826,2
"280",40,0.897259803315826,2.82842712474619
"281",40,0.897259803315826,2.23606797749979
"282",40,-1.11407836761322,2.23606797749979
"283",40,-1.11407836761322,2.64575131106459
"924",41,-1.11407836761322,1.73205080756888
"925",41,0.897259803315826,2
"926",41,0.897259803315826,1.73205080756888
"927",41,-1.11407836761322,1.4142135623731
"530",42,-1.11407836761322,2.44948974278318
"531",42,-1.11407836761322,2.23606797749979
"532",42,0.897259803315826,1.73205080756888
"533",42,0.897259803315826,2
"995",42,0.897259803315826,3.46410161513775
"996",42,-1.11407836761322,1
"997",42,-1.11407836761322,3.16227766016838
"1207",42,0.897259803315826,2.44948974278318
"1208",42,-1.11407836761322,2
"980",43,-1.11407836761322,3.46410161513775
"981",43,0.897259803315826,2.23606797749979
"930",44,0.897259803315826,5.91607978309962
"931",44,0.897259803315826,2.23606797749979
"932",44,-1.11407836761322,1.73205080756888
"933",44,-1.11407836761322,3.16227766016838
"939",45,-1.11407836761322,1.4142135623731
"940",45,0.897259803315826,2.23606797749979
"941",45,-1.11407836761322,1.73205080756888
"714",46,-1.11407836761322,3.87298334620742
"715",46,-1.11407836761322,3.16227766016838
"2094",46,0.897259803315826,3.87298334620742
"2095",46,0.897259803315826,3.87298334620742
"2096",46,-1.11407836761322,4.47213595499958
"711",47,0.897259803315826,3.87298334620742
"712",47,0.897259803315826,3.87298334620742
"713",47,-1.11407836761322,3.87298334620742
"666",48,-1.11407836761322,3.46410161513775
"667",48,0.897259803315826,4
"668",48,0.897259803315826,3.16227766016838
"669",48,-1.11407836761322,4.47213595499958
"2595",48,0.897259803315826,4
"1144",49,0.897259803315826,3.16227766016838
"1145",49,0.897259803315826,2.82842712474619
"1146",49,-1.11407836761322,2.82842712474619
"1147",49,-1.11407836761322,2.44948974278318
"171",50,-1.11407836761322,3.46410161513775
"172",50,0.897259803315826,2.44948974278318
"173",50,0.897259803315826,3.87298334620742
"174",50,-1.11407836761322,5
"621",50,-1.11407836761322,2.23606797749979
"622",50,0.897259803315826,3
"623",50,0.897259803315826,2.23606797749979
"1790",50,0.897259803315826,1.73205080756888
"1791",50,-1.11407836761322,2
"1792",50,0.897259803315826,2.64575131106459
"212",51,0.897259803315826,3.46410161513775
"213",51,0.897259803315826,3.87298334620742
"214",51,-1.11407836761322,2.23606797749979
"215",51,-1.11407836761322,2.82842712474619
"1907",51,0.897259803315826,3.16227766016838
"1908",51,0.897259803315826,3.46410161513775
"1909",51,-1.11407836761322,2.82842712474619
"692",52,-1.11407836761322,2.64575131106459
"693",52,-1.11407836761322,3.16227766016838
"946",53,0.897259803315826,3.16227766016838
"947",53,-1.11407836761322,1.4142135623731
"948",53,-1.11407836761322,2
"949",53,0.897259803315826,5
"2519",53,0.897259803315826,2.23606797749979
"2520",53,-1.11407836761322,1.73205080756888
"2521",53,0.897259803315826,3.16227766016838
"1137",54,-1.11407836761322,3.87298334620742
"1138",54,0.897259803315826,2.23606797749979
"1139",54,0.897259803315826,4.47213595499958
"2564",54,0.897259803315826,3.16227766016838
"1099",55,0.897259803315826,3.74165738677394
"1100",55,0.897259803315826,3.87298334620742
"1101",55,-1.11407836761322,3.87298334620742
"2565",55,0.897259803315826,3.87298334620742
"2566",55,-1.11407836761322,3.16227766016838
"2567",55,-1.11407836761322,4.47213595499958
"737",56,0.897259803315826,4.12310562561766
"735",57,0.897259803315826,4.24264068711928
"736",57,0.897259803315826,4.47213595499958
"2440",57,-1.11407836761322,5
"764",58,-1.11407836761322,3.87298334620742
"765",58,0.897259803315826,2.23606797749979
"766",58,-1.11407836761322,2.23606797749979
"429",59,-1.11407836761322,3.16227766016838
"430",59,0.897259803315826,4.47213595499958
"431",59,0.897259803315826,2.23606797749979
"432",59,-1.11407836761322,3.16227766016838
"774",59,0.897259803315826,3.16227766016838
"775",59,-1.11407836761322,1.4142135623731
"776",59,-1.11407836761322,1.4142135623731
"777",59,0.897259803315826,2
"163",60,0.897259803315826,3.87298334620742
"164",60,0.897259803315826,2.64575131106459
"1433",60,0.897259803315826,2.64575131106459
"1434",60,0.897259803315826,3.16227766016838
"1435",60,-1.11407836761322,2.44948974278318
"1086",61,0.897259803315826,2.44948974278318
"1087",61,-1.11407836761322,5
"730",62,-1.11407836761322,3.16227766016838
"358",63,0.897259803315826,2.64575131106459
"359",63,-1.11407836761322,2.23606797749979
"360",63,-1.11407836761322,2.82842712474619
"731",63,0.897259803315826,2.82842712474619
"732",63,0.897259803315826,4.47213595499958
"733",63,-1.11407836761322,2.23606797749979
"734",63,-1.11407836761322,1
"1060",63,-1.11407836761322,2.23606797749979
"1061",63,0.897259803315826,3.87298334620742
"1062",63,0.897259803315826,3.74165738677394
"2441",63,0.897259803315826,2
"2442",63,0.897259803315826,1.73205080756888
"1097",64,-1.11407836761322,4.47213595499958
"1098",64,0.897259803315826,2.23606797749979
"383",65,-1.11407836761322,3.16227766016838
"384",65,0.897259803315826,2.44948974278318
"385",65,-1.11407836761322,2
"422",66,0.897259803315826,3.74165738677394
"423",66,0.897259803315826,3.16227766016838
"424",66,-1.11407836761322,3.87298334620742
"782",66,-1.11407836761322,3.87298334620742
"783",66,-1.11407836761322,3.16227766016838
"1093",66,-1.11407836761322,2.23606797749979
"2460",66,-1.11407836761322,2.44948974278318
"2461",66,-1.11407836761322,2.44948974278318
"2462",66,0.897259803315826,2.82842712474619
"2463",66,0.897259803315826,1
"58",67,0.897259803315826,3.87298334620742
"59",67,-1.11407836761322,4.47213595499958
"187",67,-1.11407836761322,2.64575131106459
"188",67,-1.11407836761322,1
"1319",68,0.897259803315826,5.47722557505166
"1320",68,-1.11407836761322,3.16227766016838
"1321",68,0.897259803315826,4.47213595499958
"807",69,0.897259803315826,3.16227766016838
"808",69,-1.11407836761322,3.87298334620742
"809",69,-1.11407836761322,3.16227766016838
"2492",69,-1.11407836761322,3.87298334620742
"2493",69,0.897259803315826,3.87298334620742
"255",70,-1.11407836761322,3.74165738677394
"256",70,0.897259803315826,2.23606797749979
"257",70,-1.11407836761322,4.12310562561766
"950",70,-1.11407836761322,3.87298334620742
"951",70,0.897259803315826,2.82842712474619
"1496",70,-1.11407836761322,3.16227766016838
"1497",70,0.897259803315826,3
"2030",70,-1.11407836761322,2
"2031",70,0.897259803315826,3.46410161513775
"2032",70,-1.11407836761322,3.16227766016838
"2125",70,-1.11407836761322,1
"2126",70,0.897259803315826,2
"496",71,-1.11407836761322,3.16227766016838
"497",71,-1.11407836761322,2.23606797749979
"1143",72,-1.11407836761322,3.87298334620742
"2481",72,-1.11407836761322,3.60555127546399
"1140",73,-1.11407836761322,3.87298334620742
"1141",73,0.897259803315826,5
"1142",73,0.897259803315826,5
"2486",73,0.897259803315826,3
"2487",73,-1.11407836761322,3.87298334620742
"814",74,0.897259803315826,3.87298334620742
"815",74,0.897259803315826,2.82842712474619
"816",74,-1.11407836761322,2.64575131106459
"1307",75,-1.11407836761322,5
"1308",75,0.897259803315826,3.16227766016838
"1309",75,0.897259803315826,3.87298334620742
"2586",75,0.897259803315826,3.87298334620742
"2587",75,-1.11407836761322,5
"399",76,0.897259803315826,2.23606797749979
"400",76,0.897259803315826,2.82842712474619
"401",76,-1.11407836761322,2
"3",77,-1.11407836761322,1.73205080756888
"4",77,-1.11407836761322,3.60555127546399
"5",77,0.897259803315826,3.87298334620742
"6",77,0.897259803315826,5.47722557505166
"767",78,-1.11407836761322,2.23606797749979
"768",78,-1.11407836761322,0
"769",78,0.897259803315826,3.87298334620742
"770",78,0.897259803315826,3.87298334620742
"856",79,0.897259803315826,3.16227766016838
"857",79,-1.11407836761322,2.23606797749979
"858",79,0.897259803315826,3.87298334620742
"1197",80,0.897259803315826,5
"1198",80,0.897259803315826,2.44948974278318
"1199",80,-1.11407836761322,3.16227766016838
"1217",81,0.897259803315826,3.3166247903554
"1218",81,0.897259803315826,2.44948974278318
"1219",81,-1.11407836761322,3.87298334620742
"2526",81,0.897259803315826,2
"2527",81,0.897259803315826,3.60555127546399
"150",82,-1.11407836761322,4.12310562561766
"151",82,-1.11407836761322,2.64575131106459
"581",82,-1.11407836761322,3.16227766016838
"582",82,-1.11407836761322,3.16227766016838
"583",82,0.897259803315826,3.87298334620742
"584",82,0.897259803315826,3.87298334620742
"1801",82,0.897259803315826,3.16227766016838
"1802",82,-1.11407836761322,3.3166247903554
"1803",82,0.897259803315826,2.82842712474619
"249",83,-1.11407836761322,4.69041575982343
"250",83,0.897259803315826,4.47213595499958
"703",83,0.897259803315826,3.87298334620742
"704",83,-1.11407836761322,3.87298334620742
"705",83,0.897259803315826,3.87298334620742
"945",83,0.897259803315826,0
"2115",83,-1.11407836761322,4.24264068711928
"2116",83,0.897259803315826,3.87298334620742
"2117",83,0.897259803315826,3.87298334620742
"523",84,0.897259803315826,3.87298334620742
"524",84,-1.11407836761322,2.82842712474619
"525",84,-1.11407836761322,2.82842712474619
"1233",85,-1.11407836761322,3.16227766016838
"1234",85,0.897259803315826,2.82842712474619
"1235",85,0.897259803315826,2.82842712474619
"1236",85,-1.11407836761322,3.87298334620742
"468",86,-1.11407836761322,0
"469",86,0.897259803315826,3.16227766016838
"470",86,0.897259803315826,2.64575131106459
"168",87,-1.11407836761322,4.24264068711928
"169",87,0.897259803315826,4.12310562561766
"170",87,0.897259803315826,3.16227766016838
"631",87,0.897259803315826,3.16227766016838
"632",87,0.897259803315826,2.82842712474619
"1812",87,0.897259803315826,2.23606797749979
"1813",87,-1.11407836761322,2
"1814",87,0.897259803315826,2.23606797749979
"1815",87,-1.11407836761322,2.64575131106459
"361",88,-1.11407836761322,0
"362",88,0.897259803315826,4.47213595499958
"363",88,0.897259803315826,5
"716",89,0.897259803315826,3.87298334620742
"717",89,-1.11407836761322,0
"718",89,0.897259803315826,5
"795",90,-1.11407836761322,3.87298334620742
"286",91,0.897259803315826,3.46410161513775
"287",91,0.897259803315826,3.87298334620742
